Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
CHEMBL3265008,CHEMBL3265005,-0.55,0.2,0.07,0.16,0.5,N/A,N/A
CHEMBL3265008,CHEMBL3265006,-0.18,0.75,0.14,0.57,0.78,N/A,N/A
CHEMBL3265002,CHEMBL3265001,-1.42,-0.19,0.18,0.02,0.84,N/A,N/A
CHEMBL3265002,CHEMBL3264999,-0.8,0.51,0.21,0.8,0.83,N/A,N/A
CHEMBL3265002,CHEMBL3264996,-0.05,1.33,0.13,0.7,1.03,N/A,N/A
CHEMBL3265010,CHEMBL3265011,1.5,3.57,0.18,3.62,0.85,N/A,N/A
CHEMBL3265010,CHEMBL3264996,-0.53,-2.2,0.16,-1.85,1.03,N/A,N/A
CHEMBL3265006,CHEMBL3265011,1.32,3.32,0.18,3.41,0.6,N/A,N/A
CHEMBL3265006,CHEMBL3265026,-1.41,1.53,0.18,0.97,0.78,N/A,N/A
CHEMBL3265003,CHEMBL3264999,-0.6,1.28,0.19,1.67,0.74,N/A,N/A
CHEMBL3264999,CHEMBL3264996,0.75,-0.47,0.23,-0.1,0.77,N/A,N/A
