Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
CHEMBL3265000,CHEMBL3264994,2.01,1.97,0.2,1.56,0.7,N/A,N/A
CHEMBL3265023,CHEMBL3265028,-0.53,-0.11,0.09,0.0,0.38,N/A,N/A
CHEMBL3265023,CHEMBL3265022,-0.31,0.14,0.06,0.22,0.25,N/A,N/A
CHEMBL3265023,CHEMBL3265020,-0.53,0.46,0.05,0.53,0.78,N/A,N/A
CHEMBL3265004,CHEMBL3265001,-1.17,-0.05,0.15,0.02,0.58,N/A,N/A
CHEMBL3265004,CHEMBL3264999,-0.56,1.12,0.1,1.24,0.81,N/A,N/A
CHEMBL3265004,CHEMBL3265002,0.25,-0.04,0.13,0.04,0.69,N/A,N/A
CHEMBL3265004,CHEMBL3265003,0.04,-0.14,0.11,-0.56,0.64,N/A,N/A
CHEMBL3265029,CHEMBL3265016,-0.57,1.25,0.05,1.05,0.32,N/A,N/A
CHEMBL3265029,CHEMBL3265027,0.79,0.55,0.04,0.63,0.64,N/A,N/A
CHEMBL3265029,CHEMBL3265030,-0.35,0.9,0.17,0.8,0.26,N/A,N/A
CHEMBL3265025,CHEMBL3265008,0.42,-0.27,0.05,-0.25,0.27,N/A,N/A
CHEMBL3265025,CHEMBL3265020,-0.8,0.37,0.07,0.38,0.27,N/A,N/A
CHEMBL3265012,CHEMBL3265010,0.41,0.07,0.1,0.51,1.22,N/A,N/A
CHEMBL3265012,CHEMBL3259820,-0.03,0.54,0.04,0.73,0.79,N/A,N/A
CHEMBL3265012,CHEMBL3265002,-0.07,-0.77,0.17,-1.74,1.22,N/A,N/A
CHEMBL3265030,CHEMBL3265027,1.15,-0.06,0.06,-0.16,0.26,N/A,N/A
CHEMBL3265037,CHEMBL3265032,1.71,0.37,0.04,0.34,0.25,N/A,N/A
CHEMBL3265016,CHEMBL3265005,1.36,-0.74,0.05,-0.83,0.3,N/A,N/A
CHEMBL3265016,CHEMBL3265020,0.68,-0.42,0.06,-0.38,0.66,N/A,N/A
CHEMBL3265032,CHEMBL3265022,0.27,0.43,0.08,0.53,0.35,N/A,N/A
CHEMBL3265032,CHEMBL3265027,0.74,0.78,0.05,0.79,0.54,N/A,N/A
CHEMBL3265032,CHEMBL3265033,-0.78,-0.34,0.06,-0.34,0.3,N/A,N/A
CHEMBL3264997,CHEMBL3264995,-1.41,-0.8,0.1,-0.9,0.51,N/A,N/A
CHEMBL3264997,CHEMBL3264994,1.17,-0.07,0.12,-0.02,0.51,N/A,N/A
CHEMBL3265028,CHEMBL3265027,0.68,0.26,0.04,0.48,0.38,N/A,N/A
CHEMBL3265018,CHEMBL3265011,2.55,4.41,0.13,4.18,0.6,N/A,N/A
CHEMBL3265018,CHEMBL3265005,0.86,0.72,0.09,0.5,0.65,N/A,N/A
CHEMBL3265018,CHEMBL3265019,0.41,-1.06,0.09,-0.61,0.65,N/A,N/A
CHEMBL3265019,CHEMBL3265005,0.45,0.66,0.07,1.11,0.65,N/A,N/A
CHEMBL3265027,CHEMBL3265033,-1.51,-1.2,0.05,-1.14,0.3,N/A,N/A
CHEMBL3265027,CHEMBL3265020,-0.68,0.19,0.12,0.05,0.79,N/A,N/A
CHEMBL3265027,CHEMBL3265010,0.19,-0.63,0.09,-0.51,0.68,N/A,N/A
CHEMBL3265024,CHEMBL3265008,2.01,-0.88,0.1,-0.99,0.77,N/A,N/A
CHEMBL3264995,CHEMBL3264994,2.58,0.52,0.13,0.88,0.7,N/A,N/A
CHEMBL3264995,CHEMBL3265001,0.35,-0.65,0.13,-0.6,0.13,N/A,N/A
CHEMBL3265033,CHEMBL3265022,1.05,0.84,0.09,0.87,0.3,N/A,N/A
CHEMBL3265020,CHEMBL3265026,-0.35,0.36,0.1,0.5,0.76,N/A,N/A
CHEMBL3265008,CHEMBL3259820,-0.79,0.48,0.09,0.29,0.77,N/A,N/A
CHEMBL3265008,CHEMBL3265005,-0.55,0.21,0.05,0.17,0.38,N/A,N/A
CHEMBL3265008,CHEMBL3265006,-0.18,0.66,0.09,0.55,0.38,N/A,N/A
CHEMBL3265002,CHEMBL3265001,-1.42,0.05,0.11,-0.02,0.58,N/A,N/A
CHEMBL3265002,CHEMBL3264999,-0.8,1.28,0.14,1.2,0.8,N/A,N/A
CHEMBL3265002,CHEMBL3264996,-0.05,1.26,0.13,0.72,1.22,N/A,N/A
CHEMBL3265010,CHEMBL3265011,1.5,3.71,0.1,3.78,0.69,N/A,N/A
CHEMBL3265010,CHEMBL3264996,-0.53,-2.01,0.14,-1.52,1.22,N/A,N/A
CHEMBL3265006,CHEMBL3265011,1.32,3.42,0.14,3.3,0.45,N/A,N/A
CHEMBL3265006,CHEMBL3265026,-1.41,0.83,0.1,0.57,0.39,N/A,N/A
CHEMBL3265003,CHEMBL3264999,-0.6,1.7,0.16,1.8,0.45,N/A,N/A
CHEMBL3264999,CHEMBL3264996,0.75,-0.65,0.16,-0.47,0.81,N/A,N/A
