Ligand1,Ligand2,Exp.,Exp Error,FEP,FEP Error,Unsigned Diff,CCC,CCC Error,Energy Conv.,Lig. RMSD,REST Exch.,CCC Conv.,Solvent Trajectory,Complex Trajectory,Vacuum Trajectory,Protocol
22f-bindingpose2,22f-bindingpose1,0.0,N/A,0.71,0.05,0.71,0.0,0.18,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22f-bindingpose2,22g-bindingpose2,-0.48,N/A,-0.17,0.04,0.3,-0.22,0.18,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22g-bindingpose1,22e-bindingpose1,0.8,N/A,0.53,0.07,0.26,0.57,0.19,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22g-bindingpose1,22g-bindingpose2,0.0,N/A,-1.14,0.07,1.14,0.0,0.18,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
22g-bindingpose1,35i,-0.13,N/A,-0.63,0.11,0.49,0.2,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35b,19a-bindingpose1,-0.35,N/A,-0.56,0.1,0.21,-0.9,0.16,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35b,35i,-1.88,N/A,-2.1,0.11,0.21,-2.25,0.16,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35b,35s,-1.36,N/A,-1.27,0.08,0.09,-1.22,0.16,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35c,22d-bindingpose1,0.47,N/A,-0.38,0.1,0.86,-2.37,0.28,Good,Fair,Fair,Bad,20.0 ns,20.0 ns,20.0 ns,default
35c,35t,-0.28,N/A,-1.11,0.1,0.83,-1.82,0.33,Good,Fair,Fair,Bad,20.0 ns,20.0 ns,20.0 ns,default
35d,35e,-0.88,N/A,-1.16,0.05,0.28,-1.29,0.17,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35d,35s,-0.34,N/A,-0.21,0.04,0.13,-0.17,0.16,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35e,22g-bindingpose2,0.15,N/A,0.02,0.07,0.14,-0.11,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35f,35s,-0.3,N/A,0.19,0.03,0.5,0.28,0.16,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35g,35f,0.72,N/A,0.2,0.03,0.52,0.35,0.16,Good,Good,Good,Good,20.0 ns,20.0 ns,20.0 ns,default
35g,35h-S,0.76,N/A,1.97,0.08,1.21,1.84,0.17,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35h-R,35h-S,0.0,N/A,0.88,0.1,0.88,0.6,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35h-R,35k,0.36,N/A,-0.85,0.09,1.21,-0.57,0.19,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35h-S,22b-bindingpose2,0.56,N/A,-1.34,0.13,1.91,-2.09,0.17,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35j-R,22d-bindingpose2,1.66,N/A,0.91,0.09,0.75,0.47,0.18,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35j-R,35e,0.22,N/A,-0.13,0.04,0.35,-0.01,0.17,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35j-R,35g,0.34,N/A,0.47,0.03,0.13,0.48,0.17,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35j-R,35h-S,1.1,N/A,2.12,0.07,1.02,2.32,0.17,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35j-R,35q,-0.12,N/A,0.08,0.04,0.2,0.2,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35j-S,35i,0.24,N/A,0.27,0.04,0.03,0.43,0.18,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35k,19c-bindingpose1,0.29,N/A,-0.56,0.14,0.85,-1.02,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35k,22a,0.2,N/A,-0.88,0.06,1.08,-0.48,0.23,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35k,35e,-1.24,N/A,-1.16,0.06,0.08,-1.16,0.18,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35l,35i,-0.07,N/A,-0.68,0.04,0.61,-0.51,0.16,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35m,19b,1.34,N/A,1.57,0.1,0.23,1.62,0.16,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35m,35b,1.76,N/A,1.94,0.11,0.18,2.0,0.16,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35m,35f,0.7,N/A,0.56,0.03,0.14,0.5,0.16,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35m,35l,-0.05,N/A,0.28,0.04,0.33,0.26,0.16,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35n,35b,1.85,N/A,2.24,0.07,0.39,2.18,0.16,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35n,35l,0.04,N/A,0.38,0.04,0.34,0.44,0.16,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35o,22a,0.87,N/A,0.6,0.1,0.27,0.06,0.23,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,core-hopping
35o,22f-bindingpose1,0.06,N/A,0.44,0.08,0.39,-0.51,0.18,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35o,35b,1.33,N/A,1.7,0.06,0.37,1.72,0.17,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35o,35k,0.67,N/A,0.67,0.05,0.0,0.54,0.18,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35o,35s,-0.03,N/A,0.55,0.04,0.58,0.5,0.17,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35o,35t,0.11,N/A,-0.3,0.05,0.41,0.41,0.26,Good,Fair,Fair,Bad,20.0 ns,20.0 ns,20.0 ns,default
35r,35i,0.34,N/A,0.33,0.04,0.02,0.49,0.17,Good,Good,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
35s,19b,0.94,N/A,0.88,0.07,0.06,0.84,0.16,Good,Fair,Fair,Good,20.0 ns,20.0 ns,20.0 ns,default
